Artikel,EG
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,27
3,22
3,23
3,24
3,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
5,3
5,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
7,42
7,43
7,171
8,38
9,51
9,52
9,53
9,54
9,55
9,56
11,57
11,64
12,58
12,59
13,60
13,61
13,62
14,60
14,61
14,62
15,63
15,64
16,65
17,65
17,66
18,67
19,65
19,66
19,67
20,68
21,69
21,70
22,71
22,72
23,73
24,74
24,75
24,76
24,77
25,78
26,79
27,80
28,81
29,74
29,75
29,76
29,77
29,81
30,82
31,82
32,83
33,85
33,86
33,87
33,88
34,85
34,86
34,87
34,88
35,84
35,89
35,90
35,91
35,92
35,93
36,94
36,95
36,96
37,97
38,97
39,97
40,98
40,99
41,98
41,99
42,100
43,100
44,101
44,102
45,103
45,104
45,105
45,106
45,107
46,108
46,109
47,110
48,115
49,111
49,112
49,113
49,114
50,116
51,117
51,118
51,119
51,120
52,117
52,118
52,120
53,121
54,121
55,122
55,123
56,124
57,129
58,129
60,125
60,126
60,127
60,128
60,130
60,131
60,132
61,133
62,134
63,135
64,136
65,136
66,137
66,138
67,139
68,139
75,140
77,141
78,143
79,145
80,142
81,144
82,146
83,148
83,150
83,151
84,149
84,152
85,153
86,154
88,155
89,156
89,157
89,158
89,159
89,160
89,161
89,162
89,163
90,164
91,165
92,166
92,167
92,168
92,169
92,170
93,166
93,167
93,168
93,169
93,170
94,171
94,172
95,173
